"DepthRowID","SampleRowID","DepthNum","Depth","DepthComments"
"{005EC9D6-169E-4740-9F1B-071911EADDD8}","{C43FE67A-FE8A-416D-9A1F-0D70412B1016}",4,3.70,
"{005FDC61-970C-445B-A458-00B31018D590}","{A2C9417D-F5D3-4C57-A1D0-CB53AFF863D5}",1,5.50,
"{0062D61E-EFF8-4D2D-AC5A-895FB28CD45A}","{C90503F2-A402-41A7-8111-47DB4A30A6BA}",2,5.00,
"{00661FCE-A282-42A1-98F4-32D0D78D9FD6}","{AC23A9DB-DC14-402A-AA40-AB028D073AC0}",4,3.10,
"{006A0438-15C3-45CC-AA1E-6E7BE1124FC5}","{573FA325-D1E5-4363-B18B-2F1077895882}",1,2.20,
"{006A2E3C-058D-4691-B8E6-A1AF47F43879}","{DD392795-1626-43B6-AC0B-CAC258673D60}",1,0.70,
"{006B04DA-BB99-4718-A721-56025A2F7E3B}","{D12DAB03-F368-4D99-B626-A4B11890EA83}",5,3.90,
"{006DA8EE-9FED-4821-84AF-4F88516942EE}","{465056BC-523B-48A4-87A1-EF00DF01650F}",4,1.90,
"{006E3BA0-CD81-4919-B5F8-D496477137E4}","{14A52E3A-7C78-49AE-BFFD-4C5545E977C2}",5,2.10,
"{006EF7D3-1A54-485A-ACBA-FD31DAA70AA7}","{F2891629-743F-4C53-AE2F-4B8B47B6DDF9}",2,5.10,
"{0073BE93-1A77-4F85-A168-74C5567B0003}","{CF5CB31F-61FC-4EB0-8A55-3D426B049262}",3,5.00,
"{00751C0E-52DC-427A-B554-2AC4D6E1E5C9}","{212BC36B-7B74-4097-8F1D-EC7B3E1AB5B0}",1,4.20,
"{00768BB7-7DD0-40DF-A2D6-426D10D9A34D}","{99750998-4246-496A-ACB5-A2956290D7F4}",2,5.90,
"{0077EF7C-DFA1-4528-BC95-5031EB0F971D}","{308607CD-4E0D-4841-82F9-1C1F574AAD16}",1,8.90,
"{0082BE51-F345-4A1B-BA68-C55818DFB55F}","{7A1490AC-D59C-4D80-95EC-215557226663}",3,1.60,
"{0086BB1E-4B60-4FCA-8A2E-AAD4107598A1}","{FBCE879B-FDAA-44FF-8AB3-35F11184A20C}",3,2.90,
"{0087F189-7D3F-44DD-83EB-E1D51CB2BDF3}","{AF0DDB83-3A2C-4207-A59E-1EBA6D86FE19}",4,3.40,
"{008BE6C3-CC22-4878-A564-6F6515F0A31C}","{5BFD9C71-F0D8-425A-9E84-529EACC0CD73}",1,3.60,
"{008E9069-3244-46AA-866C-037B55A22AFC}","{FDE67725-8C9C-49C3-B6ED-D39E90DF349A}",2,2.20,
"{0090B9D1-B7F9-4825-8328-32AAB778EA55}","{6E5B8986-B090-415B-886A-61E10787CBEA}",1,4.00,
"{009662BF-262E-4ACA-9BD0-80EC19C0F3C2}","{CF6D6F76-7E60-4FB7-88D7-103715ACBB03}",2,1.00,
"{009790D2-E49A-43DB-AFEE-AA1D29EFC499}","{C22F6176-7425-41E2-A68D-408B21D71060}",5,2.10,
"{009BBAF7-7142-480B-BAB4-8221D878D463}","{396D56A5-AB06-40D0-8101-254F8E8E7FD0}",4,2.60,
"{009EBB57-1631-4188-9A18-F5F870DCB5D0}","{4C03B078-036B-4CA6-B72E-4118FF6681AE}",5,3.80,
"{00A0C9DD-EB0E-461E-AFCD-79A1635C85E4}","{4F8B31D4-6E24-4C2C-8EEF-98FFAB2ED593}",3,0.90,
"{00A144C8-7228-49FC-B5D6-E6E522338819}","{E55B2995-222D-4E4A-B4CB-21BE9581B924}",4,5.50,
"{00A1EB4B-127F-44A6-BDDD-A49BB7004F87}","{79A31073-8A89-4C50-9A5D-3A7C0D0E8B84}",3,7.50,
"{00A3D408-B062-4132-ABCE-09A228C0617F}","{B4E186F0-A11A-4359-91A2-91B1CA68D6EF}",3,3.40,
"{00A5088C-C465-4D2A-A8C8-8C1E61E998E5}","{FE96A52E-CABD-4477-A794-5EA19BE4ED38}",5,3.10,
"{00A76F36-D53F-417D-B493-1F2DC230B0FE}","{BF69C6B1-5BE8-426A-8D36-2DBADB33A0F1}",1,1.80,
"{00ABB8BF-E2A1-44EB-A06A-E8791E472289}","{72AE689D-72BD-4C36-B12A-5AB71DA88F8D}",5,3.70,
"{00B3BAC6-DEC6-44C6-9F9A-1B2CDBDD328F}","{5EED6155-EF57-4B34-A946-4F5FAF8CB2FA}",1,7.40,
"{00B766E6-09DD-4327-9A04-0BB15A7DCB63}","{84E46A7C-22E0-4D09-B4C7-1A8E4A7101EE}",3,4.50,
"{00B99FF2-3101-4826-8DA1-3E6938BC0B71}","{D260386B-62B2-425B-926E-D42D8333623F}",4,5.10,
"{00BA28D8-6E2A-4152-8C4B-57BEAC68069B}","{0E7E9033-F1ED-4F76-AE55-6AC5C101DDBE}",1,2.00,
"{00C047ED-A9CB-4DB2-A43B-5A322F0A85F5}","{45844E08-15B8-4B03-99AE-0A2F7F946934}",4,5.30,
"{00C1F169-26C8-42D1-B377-4DFFBEE8BC83}","{457E4CB4-117A-4755-9E8D-BFFE8818FB71}",3,2.30,
"{00C3D93A-A5CF-4E74-9727-70EC15641E95}","{F7455F38-C1BF-463D-A448-489EC22DF33E}",3,1.30,
"{00C680C7-DC43-41D2-89B7-1CF8E5D074B2}","{B8DD0146-6F97-4A8F-8229-0734D42EC18B}",3,2.70,
"{00C7B2A8-7B1D-415D-895E-96F4F6EC266F}","{2494A6A9-0CF7-4102-9EEB-017776EB9690}",3,1.70,
"{00D06AF3-3DAB-422A-9E3F-E9B2461FC3F6}","{BC4BB62E-385E-43EE-ADB0-141D42CF8D58}",1,9.80,
"{00D1E565-E69D-48CF-8AE5-F30224FC21F6}","{028FCB44-E4CF-43EF-A44A-AAC29E2BBE37}",2,2.20,
"{00D27E73-02C5-44FA-8873-3CCA0E57AFC2}","{CAB81166-D3B9-477E-822D-DB5CD5BE3AB1}",3,5.40,
"{00D67F47-1281-4B45-95AF-B456A605909B}","{9C71BB45-0F52-4829-A6CB-DADDBB2F5737}",5,2.00,
"{00D95887-3C21-4791-A6C4-863C4B9A9F41}","{A7620954-8E8B-4536-80A9-814EAB83F1EF}",5,3.60,
"{00DA55FC-3774-4D61-8EB0-8A79BAE831A4}","{95037792-4DA9-48D9-8C0B-C853840B7A19}",3,4.00,
"{00DAEE11-1637-4C0B-82F9-D5548099BD74}","{A77C7563-8D60-4E4D-8F68-1571C50C3EC6}",2,1.60,
"{00DBC69D-604B-407B-A2B7-C59BB265A6D2}","{AB235622-546E-4A4B-ADFE-FAA1D6EEB322}",5,1.00,
"{00DF6AB3-66D0-4F6F-96CA-EA21DAE8EBE1}","{67FE4255-EBED-466D-8DC6-404054C188DA}",4,5.30,
"{00E12575-60F3-493F-AD9A-B33BD96BA41D}","{A2CC0AA5-6967-4095-AB84-733F0A028014}",4,4.60,
"{00F0B4A0-35D5-441D-96F1-19EC289541BA}","{6336E4E2-B92A-423C-81E2-B50BFA01F832}",5,2.70,
"{00F126CB-4CBA-40D2-BDB0-340BBCFF22E8}","{DEA206B0-5895-4F8F-A584-8003A78E172E}",5,5.10,
