ScientificName,OrganismCode,IngratedDS,CommonName,NonNative,Phylum,Class,Order,Family,Genus,Species,Active
Heptacarpus NA,Hspp,no ADD,Heptacarpus Spp.,,Arthropoda,Malacostraca,Decapoda,Hippolytidae,Heptacarpus,NA,1
Atherinopsis californiensis,JSM,Atherinopsis californiensis,jacksmelt,no,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Atherinopsis,californiensis,1
Oncorhynchus nerka,KOS,Oncorhynchus nerka,kokanee salmon,yes,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,nerka,0
Brachyistius frenatus,KSP,Brachyistius frenatus,kelp perch,no,Chordata,Actinopterygii,Perciformes,Embiotocidae,Brachyistius,frenatus,0
Lampetra NA,LAM,no ADD,lamprey unknown,,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,NA,1
Spirinchus thaleichthys,LFS,Spirinchus thaleichthys,longfin smelt,no,Chordata,Actinopterygii,Salmoniformes,Osmeridae,Spirinchus,thaleichthys,1
Ophiodon elongatus,LIC,Ophiodon elongatus,lingcod,no,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Ophiodon,elongatus,0
Micropterus salmoides,LMB,Micropterus salmoides,largemouth bass,yes,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,salmoides,1
Gillichthys mirabilis,LMS,Gillichthys mirabilis,longjaw mudsucker,no,Chordata,Actinopterygii,Percifomes,Gobiidae,Gillichthys,mirabilis,1
Percina macrolepida,LP,Percina macrolepida,bigscale logperch,yes,Chordata,Actinopterygii,Perciformes,Percidae,Percina,macrolepida,1
Triakis semifasciata,LPS,Triakis semifasciata,leopard shark,no,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Triakis,semifasciata,1
Cyprinidae,MIN,Cyprinidae,minnow unknown,,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,0
Maeotias marginata,MMARGI,Maeotias marginata,Black Sea jellyfish,yes,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Maeotias,marginata,1
Moerisia sp.,MOERIS,no ADD,Moerisia sp.,no,Cnidaria,Hydrozoa,Anthomedusae,Moerisiidae,Moerisia,sp.,1
Gambusia affinis,MQF,Gambusia affinis,western mosquitofish,yes,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,affinis,1
Menidia beryllina,MSS,ADD,inland silverside,yes,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,Menidia,beryllina,1
Engraulis mordax,NAN,Engraulis mordax,northern anchovy,no,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,mordax,1
,NOFISH,no ADD,no catch,,NULL,NULL,NULL,NULL,NULL,NULL,1
Esox lucius,NPK,Esox lucius,northern pike,yes,Chordata,Actinopterygii,Esociformes,Esocidae,Esox,lucius,0
Spirinchus starksi,NSM,Spirinchus starksi,night smelt,no,Chordata,Actinopterygii,Salmoniformes,Osmeridae,Spirinchus,starksi,1
Palaemon macrodactylus,ORSH,Palaemon macrodactylus,oriental shrimp,yes,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,macrodactylus,1
Antromysis cenotensis,OSH,no ADD,opossum shrimp,no,Arthropoda,Eumalacostraca,Mysidacea,Mysidae,Antromysis,cenotensis,0
Clupea pallasii,PAH,Clupea pallasii,Pacific herring,no,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pallasii,1
Pleurobrachia bachei,PBACHE,Pleurobrachia bachei,comb jelly,no,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Pleurobrachia,bachei,1
Lampetra richardsoni,PBL,Lampetra richardsoni,western brook lamprey,no,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,richardsoni,0
Peprilus simillimus,PBU,Peprilus simillimus,Pacific pompano,no,Chordata,Actinopterygii,Perciformes,Stromateidae,Peprilus,simillimus,0
Phacellophora camtschatica,PCAMTS,no ADD,egg yolk jelly,no,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Phacellophora,camtschatica,1
Percidae,PCH,ADD,perch unknown,,Chordata,Actinopterygii,Perciformes,Percidae,NA,NA,0
Pelagia colorata,PCOLOR,no ADD,purple-striped jelly,no,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Pelagia,colorata,1
Torpedo californica,PELR,Torpedo californica,Pacific electric ray,no,Chordata,Chondrichthyes,Rajiformes,Torpedinidae,Torpedo,californica,0
Hippoglossus stenolepis,PHA,Hippoglossus stenolepis,Pacific halibut,no,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossus,stenolepis,0
Polyorchis haplus,PHAP,no ADD,penicillate jellyfish other,no,Cnidaria,Hydrozoa,Anthoathecatae,Polyorchidae,Polyorchis,haplus,1
Oncorhynchus gorbuscha,PKS,Oncorhynchus gorbuscha,pink salmon,yes,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,0
Lampetra tridentata,PL,Lampetra tridentata,Pacific lamprey,no,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,tridentata,1
Porichthys notatus,PMP,Porichthys notatus,plainfin midshipman,no,Chordata,Actinopterygii,Batrachoidiformes,Batrachoididae,Porichthys,notatus,1
Rhacochilus vacca,PPE,Rhacochilus vacca,pile perch,no,Chordata,Actinopterygii,Percifomes,Embiotocidae,Rhacochilus,vacca,1
Polyorchis penicillatus,PPENIC,Polyorchis penicillatus,penicillate jellyfish,no,Cnidaria,Hydrozoa,Anthoathecatae,Polyorchidae,Polyorchis,penicillatus,1
Cottus asper,PRS,Cottus asper,prickly sculpin,no,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,asper,1
Citharichthys sordidus,PS,Citharichthys sordidus,Pacific sanddab,no,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,sordidus,0
Sardinops sagax,PSA,Sardinops sagax,Pacific sardine,no,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardinops,sagax,0
Lepomis gibbosus,PSF,Lepomis gibbosus,pumpkinseed,yes,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,gibbosus,1
Palaemonetes,Pspp,no ADD,Palaemonetes Spp.,,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemonetes,NA,1
Leptocottus armatus,PSS,Leptocottus armatus,Pacific staghorn sculpin,no,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Leptocottus,armatus,1
Apodichthys flavidus,PTG,Apodichthys flavidus,penpoint gunnel,no,Chordata,Actinopterygii,Perciformes,Pholidae,Apodichthys,flavidus,1
Microgadus proximus,PTO,Microgadus proximus,Pacific tomcod,no,Chordata,Actinopterygii,Gadiformes,Gadidae,Microgadus,proximus,0
Oncorhynchus mykiss,RBT,Oncorhynchus mykiss,rainbow / steelhead trout,no,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,1
Pholis schultzi,RDG,Pholis schultzi,red gunnel,no,Chordata,Actinopterygii,Perciformes,Pholidae,Pholis,schultzi,1
Micropterus coosae,REB,Micropterus coosae,redeye bass,yes,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,coosae,1
Lepomis microlophus,RES,Lepomis microlophus,redear sunfish,yes,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,microlophus,1
Pleuronectidae,RFF,Pleuronectidae,righteye flounder unknown,,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,NA,0
Lucania parva,RFK,Lucania parva,rainwater killifish,yes,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Lucania,parva,1
Notropis rubellus,RFS,Notropis rubellus,rosyface shiner,yes,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,rubellus,0
Lampetra ayresii,RL,Lampetra ayresii,river lamprey,no,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,ayresii,1
Scorpaenidae,ROC,no ADD,rockfish unknown,,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,NA,0
Lepidopsetta bilineata,ROS,Lepidopsetta bilineata,rock sole,no,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Lepidopsetta,bilineata,1
Cottus gulosus,RSC,Cottus gulosus,riffle sculpin,no,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,gulosus,0
Cyprinella lutrensis,RSN,Cyprinella lutrensis,red shiner,yes,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella,lutrensis,1
Amphistichus rhodoterus,RSP,Amphistichus rhodoterus,redtail surfperch,no,Chordata,Actinopterygii,Perciformes,Embiotocidae,Amphistichus,rhodoterus,0
Rhacochilus toxotes,RSU,Rhacochilus toxotes,rubberlip seaperch,no,Chordata,Actinopterygii,Perciformes,Embiotocidae,Rhacochilus,toxotes,0
Ptychocheilus grandis,SAPM,Ptychocheilus grandis,Sacramento pikeminnow,no,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Ptychocheilus,grandis,1
Psettichthys melanostictus,SAS,Psettichthys melanostictus,sand sole,no,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Psettichthys,melanostictus,1
Catostomus occidentalis,SASU,Catostomus occidentalis,Sacramento sucker,no,Chordata,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,occidentalis,1
Pholis ornata,SBG,Pholis ornata,saddleback gunnel,no,Chordata,Actinopterygii,Perciformes,Pholidae,Pholis,ornata,1
Oligocottus rimensis,SBS,Oligocottus rimensis,saddleback sculpin,no,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Oligocottus,rimensis,1
Orthodon microlepidotus,SCB,Orthodon microlepidotus,Sacramento blackfish,no,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Orthodon,microlepidotus,1
Cottidae,SCU,ADD,sculpin unknown,,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,NA,NA,0
Squalus acanthias,SDO,Squalus acanthias,spiny dogfish,no,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,acanthias,0
Tridentiger barbatus,SHG,Tridentiger barbatus,Shokihaze goby,yes,Chordata,Actinopterygii,Perciformes,Gobiidae,Tridentiger,barbatus,1
Cyprinidae,SHI,Cyprinidae,shiner unknown,,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,NA,,0
Tridentiger bifasciatus,SHM,Tridentiger bifasciatus,shimofuri goby,yes,Chordata,Actinopterygii,Perciformes,Gobiidae,Tridentiger,bifasciatus,1
