name	name_type	name_resolved	authority_system	authority_id
Notropis rubellus	scientific	Notropis rubellus	ITIS	163409
Oligocottus maculosus	scientific	Oligocottus maculosus	World Register of Marine Species	281872
Oligocottus rimensis	scientific	Oligocottus rimensis	World Register of Marine Species	281873
Palaemon	scientific	Palaemon	World Register of Marine Species	107032
Palaemon macrodactylus	scientific	Palaemon macrodactylus	World Register of Marine Species	181372
Palaemon modestus	scientific	Palaemon modestus	World Register of Marine Species	932372
Pandalus danae	scientific	Pandalus danae	World Register of Marine Species	515462
Percidae	scientific	Percidae	World Register of Marine Species	151300
Phacellophora camtschatica	scientific	Phacellophora camtschatica	World Register of Marine Species	135309
Pholis schultzi	scientific	Pholis schultzi	World Register of Marine Species	273693
Pleurobrachia bachei	scientific	Pleurobrachia bachei	World Register of Marine Species	265191
Polyorchis haplus	scientific	Polyorchis haplus	World Register of Marine Species	290840
Polyorchis penicillatus	scientific	Polyorchis penicillatus	World Register of Marine Species	290843
Pomoxis	scientific	Pomoxis	ITIS	168165
Pterygoplichthys disjunctivus	scientific	Pterygoplichthys disjunctivus	ITIS	680351
Rhinichthys osculus	scientific	Rhinichthys osculus	ITIS	163387
Salmo trutta	scientific	Salmo trutta	World Register of Marine Species	127187
Scrippsia pacifica	scientific	Scrippsia pacifica	World Register of Marine Species	291041
Sebastes carnatus	scientific	Sebastes carnatus	World Register of Marine Species	274779
Siphateles bicolor	scientific	Siphateles bicolor	ITIS	913989
Upogebia	scientific	Upogebia	World Register of Marine Species	107079
Cottus gulosus	scientific	Cottus gulosus	ITIS	167234
Aequorea	scientific	Aequorea	World Register of Marine Species	116998
Anarrhichthys ocellatus	scientific	Anarrhichthys ocellatus	World Register of Marine Species	279605
Hippoglossus stenolepis	scientific	Hippoglossus stenolepis	World Register of Marine Species	274290
Mustelus californicus	scientific	Mustelus californicus	World Register of Marine Species	271381
Palaemon kadiakensis	scientific	Palaemon kadiakensis	ITIS	1192096
Actinopteri	scientific	Actinopteri	World Register of Marine Species	843664
