geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
21-20-HB01	38.07443	38.07443	-121.9613	-121.9613
21-20-LSJ01	38.03532	38.03532	-121.71521	-121.71521
21-20-LSJ02	38.02737	38.02737	-121.77447	-121.77447
21-20-LSJ03	38.03186	38.03186	-121.73674	-121.73674
21-20-LSR01	38.06837	38.06837	-121.77418	-121.77418
21-20-LSR02	38.0592	38.0592	-121.80231	-121.80231
21-20-LSSC01	38.35041	38.35041	-121.64089	-121.64089
21-20-PP01	38.08443	38.08443	-121.57504	-121.57504
21-20-RV01	38.16859	38.16859	-121.67528	-121.67528
21-20-RV02	38.09495	38.09495	-121.72504	-121.72504
21-20-RV03	38.17306	38.17306	-121.6704	-121.6704
21-20-RV04	38.12993	38.12993	-121.69332	-121.69332
21-20-SBM01	38.07678	38.07678	-121.97728	-121.97728
21-20-SBM02	38.09851	38.09851	-122.0423	-122.0423
21-20-SBW01	38.07425	38.07425	-122.07809	-122.07809
21-20-SJT01	38.08607	38.08607	-121.64669	-121.64669
21-20-SJT02	38.0915	38.0915	-121.67536	-121.67536
21-20-SM01	38.0962	38.0962	-121.89265	-121.89265
21-20-SM02	38.16596	38.16596	-122.04395	-122.04395
21-20-SPE01	38.05528	38.05528	-122.29735	-122.29735
21-20-USSC01	38.56162	38.56162	-121.55087	-121.55087
21-20-USSC02	38.48447	38.48447	-121.58472	-121.58472
21-21-CF01	38.04942	38.04942	-121.90547	-121.90547
21-21-CQS01	38.06005	38.06005	-122.2588	-122.2588
21-21-CS01	38.3498	38.3498	-121.64492	-121.64492
21-21-CS02	38.25011	38.25011	-121.71196	-121.71196
21-21-CS03	38.25196	38.25196	-121.67258	-121.67258
21-21-CS04	38.26167	38.26167	-121.67034	-121.67034
21-21-FT01	38.05824	38.05824	-121.67375	-121.67375
21-21-FT02	38.02607	38.02607	-121.59698	-121.59698
21-21-FT03	38.03983	38.03983	-121.59004	-121.59004
21-21-FT04	38.05366	38.05366	-121.61416	-121.61416
21-21-FT05	38.04443	38.04443	-121.60772	-121.60772
21-21-GB01	38.10554	38.10554	-122.04864	-122.04864
21-21-LNR01	38.17305	38.17305	-122.29201	-122.29201
21-21-LSJ01	38.04493	38.04493	-121.7049	-121.7049
21-21-LSJ02	38.02767	38.02767	-121.76513	-121.76513
21-21-LSJ03	38.02361	38.02361	-121.79485	-121.79485
21-21-LSJ04	38.02586	38.02586	-121.72162	-121.72162
21-21-LSR01	38.05043	38.05043	-121.79718	-121.79718
21-21-LSR02	38.06617	38.06617	-121.78994	-121.78994
21-21-LSSC01	38.35649	38.35649	-121.63758	-121.63758
21-21-LSSC02	38.2878	38.2878	-121.65793	-121.65793
21-21-LSSC03	38.20409	38.20409	-121.658	-121.658
21-21-MIW01	37.98556	37.98556	-121.51609	-121.51609
21-21-MIW02	37.98132	37.98132	-121.51957	-121.51957
21-21-OR01	37.90915	37.90915	-121.56463	-121.56463
