name	name_type	name_resolved	authority_system	authority_id
Rathbunella hypoplecta	scientific	Rathbunella hypoplecta	ITIS	170954
Rhacochilus toxotes	scientific	Rhacochilus toxotes	ITIS	169755
Rhacochilus vacca	scientific	Rhacochilus vacca	ITIS	169754
Rhinobatos productus	scientific	Rhinobatos productus	ITIS	160818
Sarda chiliensis	scientific	Sarda chiliensis	ITIS	172408
Sardinops sagax	scientific	Sardinops sagax	ITIS	161729
Scomber japonicus	scientific	Scomber japonicus	ITIS	172412
Scorpaenichthys marmoratus	scientific	Scorpaenichthys marmoratus	ITIS	167353
Sebastes	scientific	Sebastes	ITIS	166705
Sebastes flavidus	scientific	Sebastes flavidus	ITIS	166720
Sebastes melanops	scientific	Sebastes melanops	ITIS	166727
Sebastes miniatus	scientific	Sebastes miniatus	ITIS	166729
Sebastes mystinus	scientific	Sebastes mystinus	ITIS	166730
Sebastes paucispinis	scientific	Sebastes paucispinis	ITIS	166733
Seriphus politus	scientific	Seriphus politus	ITIS	169362
Sphyraena argentea	scientific	Sphyraena argentea	ITIS	170426
Spirinchus starksi	scientific	Spirinchus starksi	ITIS	162048
Squalus acanthias	scientific	Squalus acanthias	ITIS	160617
Synodus lucioceps	scientific	Synodus lucioceps	ITIS	162378
Thaleichthys pacificus	scientific	Thaleichthys pacificus	ITIS	162051
Torpedo californica	scientific	Torpedo californica	ITIS	160833
Trachurus symmetricus	scientific	Trachurus symmetricus	ITIS	168586
Triakis semifasciata	scientific	Triakis semifasciata	ITIS	160448
Ameiurus natalis	scientific	Ameiurus natalis	ITIS	164041
Anguilliformes	scientific	Anguilliformes	ITIS	161123
Apodichthys flavidus	scientific	Apodichthys flavidus	ITIS	171634
Archoplites interruptus	scientific	Archoplites interruptus	ITIS	168175
Brachyistius frenatus	scientific	Brachyistius frenatus	ITIS	169737
Catostomidae	scientific	Catostomidae	ITIS	163892
Cyprinella lutrensis	scientific	Cyprinella lutrensis	ITIS	163792
Gibbonsia metzi	scientific	Gibbonsia metzi	ITIS	171398
Gibbonsia montereyensis	scientific	Gibbonsia montereyensis	ITIS	171399
Hesperoleucus symmetricus	scientific	Hesperoleucus symmetricus	ITIS	163565
Heterostichus rostratus	scientific	Heterostichus rostratus	ITIS	171476
Isopsetta isolepis	scientific	Isopsetta isolepis	ITIS	172919
Lepidopsetta bilineata	scientific	Lepidopsetta bilineata	ITIS	172917
Lepomis gulosus	scientific	Lepomis gulosus	ITIS	168138
Lucania goodei	scientific	Lucania goodei	ITIS	165680
Micropterus	scientific	Micropterus	ITIS	168158
Micropterus coosae	scientific	Micropterus coosae	ITIS	168163
Mugil cephalus	scientific	Mugil cephalus	ITIS	170335
Notropis rubellus	scientific	Notropis rubellus	ITIS	163409
Oligocottus maculosus	scientific	Oligocottus maculosus	ITIS	167333
Oligocottus rimensis	scientific	Oligocottus rimensis	ITIS	167334
Percidae	scientific	Percidae	ITIS	168356
Pholis schultzi	scientific	Pholis schultzi	ITIS	171644
Pimephales promelas	scientific	Pimephales promelas	ITIS	163517
Pomoxis	scientific	Pomoxis	ITIS	168165
Pterygoplichthys disjunctivus	scientific	Pterygoplichthys disjunctivus	ITIS	680351
Rhinichthys osculus	scientific	Rhinichthys osculus	ITIS	163387
Salmo trutta	scientific	Salmo trutta	ITIS	161997
Sebastes carnatus	scientific	Sebastes carnatus	ITIS	166767
Siphateles bicolor	scientific	Siphateles bicolor	ITIS	913989
Aurelia aurita	scientific	Aurelia aurita	ITIS	51701
Blackfordia virginica	scientific	Blackfordia virginica	ITIS	49780
Crangon	scientific	Crangon	ITIS	97107
Decapoda	scientific	Decapoda	ITIS	95599
Lepomis	scientific	Lepomis	ITIS	168130
Maeotias marginata	scientific	Maeotias marginata	ITIS	719132
Palaemon	scientific	Palaemon	ITIS	96449
Palaemon macrodactylus	scientific	Palaemon macrodactylus	ITIS	96450
Palaemon modestus	scientific	Palaemon modestus	GBIF Backbone Taxonomy	9526094
Pandalus danae	scientific	Pandalus danae	ITIS	96982
Pleurobrachia bachei	scientific	Pleurobrachia bachei	ITIS	53863
Polyorchis penicillatus	scientific	Polyorchis penicillatus	ITIS	49255
Scrippsia pacifica	scientific	Scrippsia pacifica	ITIS	49261
Aequorea	scientific	Aequorea	ITIS	50623
Anarrhichthys ocellatus	scientific	Anarrhichthys ocellatus	ITIS	171345
Chrysaora fuscescens	scientific	Chrysaora fuscescens	ITIS	51658
Cnidaria	scientific	Cnidaria	ITIS	48738
Cottus gulosus	scientific	Cottus gulosus	ITIS	167234
Hippoglossus stenolepis	scientific	Hippoglossus stenolepis	ITIS	172932
Mustelus californicus	scientific	Mustelus californicus	ITIS	160235
Palaemon kadiakensis	scientific	Palaemon kadiakensis	GBIF Backbone Taxonomy	8969832
Upogebia	scientific	Upogebia	ITIS	98207
Actinopteri	scientific	Actinopteri	World Register of Marine Species	843664
Atherinopsidae	scientific	Atherinopsidae	ITIS	630579
Cancer magister	scientific	Cancer magister	ITIS	98675
Clupeidae	scientific	Clupeidae	ITIS	161700
Eucyclogobius newberryi	scientific	Eucyclogobius newberryi	ITIS	171916
Exopalaemon modestus	scientific	Exopalaemon modestus	ITIS	96574
Corbicula fluminea	scientific	Corbicula fluminea	ITIS	81387
Crangon franciscorum	scientific	Crangon franciscorum	ITIS	97114
Eriocheir sinensis	scientific	Eriocheir sinensis	ITIS	99058
Macoma	scientific	Macoma	ITIS	81033
Myoidae	scientific	Myoidae	NA	NA
Mysida	scientific	Mysida	ITIS	89855
Potamocorbula amurensis	scientific	Potamocorbula amurensis	ITIS	81746
Procambarus clarkii	scientific	Procambarus clarkii	ITIS	97491
Rhithropanopeus harrisii	scientific	Rhithropanopeus harrisii	ITIS	98790
